time,pm2.5,pm10
2021/01/11-14:10:13,2.30,28.90
2021/01/11-14:10:14,2.40,28.90
2021/01/11-14:10:15,2.40,28.90
2021/01/11-14:10:16,2.30,28.80
2021/01/11-14:10:17,2.40,31.90
2021/01/11-14:10:18,2.40,31.50
2021/01/11-14:10:19,2.40,32.40
2021/01/11-14:10:20,2.40,31.50
2021/01/11-14:10:21,2.40,31.70
2021/01/11-14:10:22,2.30,31.70
2021/01/11-14:10:23,2.30,32.60
2021/01/11-14:10:24,2.10,30.70
2021/01/11-14:10:25,2.10,30.40
2021/01/11-14:10:26,2.00,29.00
2021/01/11-14:10:27,2.00,29.20
2021/01/11-14:10:28,2.00,28.50
2021/01/11-14:10:29,1.90,28.40
2021/01/11-14:10:30,1.90,27.30
2021/01/11-14:10:31,2.00,27.20
2021/01/11-14:10:32,2.20,31.30
2021/01/11-14:10:33,2.10,29.80
2021/01/11-14:10:34,2.00,29.80
2021/01/11-14:10:35,1.90,28.60
2021/01/11-14:10:36,1.90,28.60
2021/01/11-14:10:37,1.90,29.20
2021/01/11-14:10:38,2.00,30.90
2021/01/11-14:10:39,2.00,31.10
2021/01/11-14:10:40,2.00,29.90
2021/01/11-14:10:41,2.00,28.70
2021/01/11-14:10:42,1.80,29.00
2021/01/11-14:10:43,1.70,29.40
2021/01/11-14:10:44,1.60,29.20
2021/01/11-14:10:45,1.70,28.50
2021/01/11-14:10:46,1.70,30.10
2021/01/11-14:10:47,1.60,26.90
2021/01/11-14:10:48,1.60,27.00
2021/01/11-14:10:49,1.60,25.90
2021/01/11-14:10:50,1.60,26.00
2021/01/11-14:10:51,1.60,27.10
2021/01/11-14:10:52,1.60,27.40
2021/01/11-14:10:53,1.60,26.70
2021/01/11-14:10:54,1.60,27.10
2021/01/11-14:10:55,1.60,27.20
2021/01/11-14:10:56,1.60,27.30
2021/01/11-14:10:57,1.60,28.60
2021/01/11-14:10:58,1.60,28.40
2021/01/11-14:10:59,1.60,28.50
