time,pm2.5,pm10,fan
2021/01/23-12:22:21,15.70,81.70,3
2021/01/23-12:22:22,15.10,79.40,3
2021/01/23-12:22:23,14.80,77.40,3
2021/01/23-12:22:24,14.50,75.80,3
2021/01/23-12:22:25,14.10,74.10,3
2021/01/23-12:22:26,13.90,71.90,3
2021/01/23-12:22:27,13.50,71.00,3
2021/01/23-12:22:28,13.30,70.40,3
2021/01/23-12:22:29,12.70,66.80,3
2021/01/23-12:22:30,12.40,64.80,3
2021/01/23-12:22:31,11.80,62.20,3
2021/01/23-12:22:32,11.80,62.20,3
2021/01/23-12:22:33,11.80,60.50,3
2021/01/23-12:22:34,11.70,57.90,3
2021/01/23-12:22:35,11.60,56.40,3
2021/01/23-12:22:36,11.60,56.80,3
2021/01/23-12:22:37,11.80,57.50,3
2021/01/23-12:22:38,11.60,56.90,3
2021/01/23-12:22:39,11.50,55.80,3
2021/01/23-12:22:40,11.60,56.60,3
2021/01/23-12:22:41,12.10,59.10,3
2021/01/23-12:22:42,12.30,59.50,3
2021/01/23-12:22:43,12.20,60.20,3
2021/01/23-12:22:44,12.10,61.20,3
2021/01/23-12:22:45,12.20,62.00,3
2021/01/23-12:22:46,12.40,63.30,3
2021/01/23-12:22:47,12.50,64.20,3
2021/01/23-12:22:48,12.70,65.20,3
2021/01/23-12:22:49,13.00,67.40,3
2021/01/23-12:22:50,13.20,68.20,3
2021/01/23-12:22:51,13.40,70.40,3
2021/01/23-12:22:52,13.50,71.10,3
2021/01/23-12:22:53,13.90,74.40,3
2021/01/23-12:22:54,14.30,76.20,3
2021/01/23-12:22:55,14.60,78.00,3
2021/01/23-12:22:56,14.40,78.10,3
2021/01/23-12:22:57,14.70,78.40,3
2021/01/23-12:22:58,14.90,80.70,3
2021/01/23-12:22:59,15.20,82.40,3
2021/01/23-12:23:00,15.20,82.40,3
2021/01/23-12:23:01,15.40,82.60,3
2021/01/23-12:23:02,15.50,83.20,3
2021/01/23-12:23:03,15.50,83.40,3
2021/01/23-12:23:04,15.80,84.40,3
2021/01/23-12:23:05,16.00,85.90,3
2021/01/23-12:23:06,16.20,86.70,3
2021/01/23-12:23:07,16.00,85.10,3
2021/01/23-12:23:08,15.90,85.10,3
2021/01/23-12:23:09,16.00,85.10,3
2021/01/23-12:23:10,16.00,85.20,3
2021/01/23-12:23:11,16.00,84.20,3
2021/01/23-12:23:12,15.90,84.90,3
2021/01/23-12:23:13,15.90,85.60,3
2021/01/23-12:23:14,15.80,85.00,3
2021/01/23-12:23:15,15.70,84.10,3
2021/01/23-12:23:16,15.90,82.70,3
2021/01/23-12:23:17,15.70,81.20,3
2021/01/23-12:23:18,15.70,80.50,3
2021/01/23-12:23:19,15.80,80.30,3
2021/01/23-12:23:20,16.00,81.60,3
2021/01/23-12:23:21,16.00,80.60,3
2021/01/23-12:23:22,16.20,82.30,3
2021/01/23-12:23:23,16.10,81.10,3
2021/01/23-12:23:24,16.20,84.10,3
2021/01/23-12:23:25,16.20,82.30,3
2021/01/23-12:23:26,16.40,82.00,3
2021/01/23-12:23:27,16.60,83.70,3
2021/01/23-12:23:28,16.90,84.40,3
2021/01/23-12:23:29,17.30,90.50,3
2021/01/23-12:23:30,17.50,90.40,3
2021/01/23-12:23:31,17.70,94.20,3
2021/01/23-12:23:32,18.10,95.60,3
2021/01/23-12:23:33,18.40,96.20,3
2021/01/23-12:23:34,18.60,97.40,3
2021/01/23-12:23:35,18.90,97.20,3
2021/01/23-12:23:36,19.10,97.60,3
2021/01/23-12:23:37,19.60,100.30,3
2021/01/23-12:23:38,20.10,103.10,3
2021/01/23-12:23:39,20.90,109.90,3
2021/01/23-12:23:40,21.30,111.70,3
2021/01/23-12:23:41,21.50,114.20,3
2021/01/23-12:23:42,21.80,113.10,3
2021/01/23-12:23:43,22.40,115.10,3
2021/01/23-12:23:44,22.90,119.30,3
2021/01/23-12:23:45,23.50,123.10,3
2021/01/23-12:23:46,23.70,124.40,3
2021/01/23-12:23:47,24.20,126.60,3
2021/01/23-12:23:48,24.80,130.40,3
2021/01/23-12:23:49,25.20,133.40,3
2021/01/23-12:23:50,25.60,134.90,3
2021/01/23-12:23:51,26.40,136.40,3
2021/01/23-12:23:52,26.30,135.90,3
2021/01/23-12:23:53,26.50,135.40,3
2021/01/23-12:23:54,26.60,132.70,3
2021/01/23-12:23:55,26.90,134.60,3
2021/01/23-12:23:56,27.20,137.20,3
2021/01/23-12:23:57,27.30,138.90,3
2021/01/23-12:23:58,27.30,138.40,3
2021/01/23-12:23:59,27.10,133.20,3
2021/01/23-12:24:00,27.30,134.40,3
2021/01/23-12:24:01,27.30,133.80,3
2021/01/23-12:24:02,27.20,134.80,3
2021/01/23-12:24:03,27.50,137.20,3
2021/01/23-12:24:04,27.50,139.70,3
2021/01/23-12:24:05,27.80,141.10,3
2021/01/23-12:24:06,28.20,143.10,3
2021/01/23-12:24:07,28.60,144.40,3
2021/01/23-12:24:08,28.60,145.70,3
2021/01/23-12:24:09,28.00,139.60,3
2021/01/23-12:24:10,27.90,139.80,3
2021/01/23-12:24:11,27.80,140.90,3
2021/01/23-12:24:12,27.70,141.70,3
2021/01/23-12:24:14,27.40,140.40,3
2021/01/23-12:24:15,27.40,139.80,3
2021/01/23-12:24:16,27.30,138.90,3
2021/01/23-12:24:17,27.30,137.90,3
2021/01/23-12:24:18,27.60,139.70,3
2021/01/23-12:24:19,27.40,139.70,3
2021/01/23-12:24:20,27.60,138.90,3
2021/01/23-12:24:21,27.30,137.90,3
2021/01/23-12:24:22,26.70,139.20,3
2021/01/23-12:24:23,26.80,137.60,3
2021/01/23-12:24:24,26.70,138.30,3
2021/01/23-12:24:25,26.70,140.00,3
2021/01/23-12:24:26,26.60,139.20,3
2021/01/23-12:24:27,26.60,138.80,3
2021/01/23-12:24:28,26.60,136.40,3
2021/01/23-12:24:29,26.50,135.00,3
2021/01/23-12:24:30,26.50,134.40,3
2021/01/23-12:24:31,26.30,136.40,3
2021/01/23-12:24:32,26.10,133.20,3
2021/01/23-12:24:33,25.90,130.40,3
2021/01/23-12:24:34,25.50,127.50,3
2021/01/23-12:24:35,25.20,123.60,3
2021/01/23-12:24:36,24.90,125.20,3
2021/01/23-12:24:37,24.50,124.80,3
2021/01/23-12:24:38,24.10,123.50,3
2021/01/23-12:24:39,23.90,122.90,3
2021/01/23-12:24:40,24.10,122.10,3
2021/01/23-12:24:41,24.00,121.70,3
2021/01/23-12:24:42,24.20,120.50,3
2021/01/23-12:24:43,24.40,120.10,3
2021/01/23-12:24:44,24.40,120.90,3
2021/01/23-12:24:45,24.30,118.20,3
2021/01/23-12:24:46,24.20,116.70,3
2021/01/23-12:24:47,24.30,119.40,3
2021/01/23-12:24:48,24.00,117.30,3
2021/01/23-12:24:49,23.90,115.70,3
2021/01/23-12:24:50,23.60,115.40,3
2021/01/23-12:24:51,23.70,115.30,3
2021/01/23-12:24:52,24.20,114.70,3
2021/01/23-12:24:53,24.20,115.20,3
2021/01/23-12:24:54,24.30,115.30,3
2021/01/23-12:24:55,24.30,113.20,3
2021/01/23-12:24:56,24.20,112.90,3
2021/01/23-12:24:57,24.10,111.10,3
2021/01/23-12:24:58,23.90,112.40,3
2021/01/23-12:24:59,23.90,112.50,3
2021/01/23-12:25:00,24.00,113.60,3
2021/01/23-12:25:01,24.10,110.80,3
2021/01/23-12:25:02,24.30,112.50,3
2021/01/23-12:25:03,24.40,113.70,3
2021/01/23-12:25:04,24.40,113.70,3
2021/01/23-12:25:05,24.60,114.30,3
2021/01/23-12:25:06,24.40,112.60,3
2021/01/23-12:25:07,24.60,111.70,3
2021/01/23-12:25:08,24.60,113.50,3
2021/01/23-12:25:09,24.50,114.50,3
2021/01/23-12:25:10,24.50,115.20,3
2021/01/23-12:25:11,24.70,115.20,3
2021/01/23-12:25:12,24.70,115.10,3
2021/01/23-12:25:13,24.70,117.60,3
