time,pm2.5,pm10,fan
2021/01/20-19:38:40,7.70,23.90,2
2021/01/20-19:38:41,7.70,23.90,2
2021/01/20-19:38:42,7.60,24.10,2
2021/01/20-19:38:43,7.80,24.60,2
2021/01/20-19:38:44,7.70,24.30,2
2021/01/20-19:38:45,7.50,23.30,2
2021/01/20-19:38:46,7.50,23.00,2
2021/01/20-19:38:47,7.50,23.40,2
2021/01/20-19:38:48,7.50,23.20,2
2021/01/20-19:38:49,7.40,23.40,2
2021/01/20-19:38:50,7.20,22.80,2
2021/01/20-19:38:51,7.20,22.80,2
2021/01/20-19:38:52,7.10,23.00,2
2021/01/20-19:38:53,7.20,23.60,2
2021/01/20-19:38:54,7.20,25.40,2
2021/01/20-19:38:55,7.20,25.30,2
2021/01/20-19:38:56,7.20,25.40,2
2021/01/20-19:38:57,7.20,26.00,2
2021/01/20-19:38:58,7.20,26.00,2
2021/01/20-19:38:59,7.20,25.40,2
2021/01/20-19:39:00,7.00,24.00,2
2021/01/20-19:39:01,6.90,23.50,2
2021/01/20-19:39:02,6.90,23.60,2
2021/01/20-19:39:03,6.80,23.40,2
2021/01/20-19:39:04,6.80,23.10,2
2021/01/20-19:39:05,6.70,22.70,2
2021/01/20-19:39:06,6.70,22.00,2
2021/01/20-19:39:07,6.70,21.90,2
2021/01/20-19:39:08,6.80,22.90,2
2021/01/20-19:39:09,6.80,22.70,2
2021/01/20-19:39:10,6.90,23.10,2
2021/01/20-19:39:11,7.10,23.70,2
2021/01/20-19:39:12,7.10,23.50,2
2021/01/20-19:39:13,7.10,23.50,2
2021/01/20-19:39:14,7.10,23.80,2
2021/01/20-19:39:15,7.10,23.60,2
2021/01/20-19:39:16,7.00,23.10,2
2021/01/20-19:39:17,7.00,23.20,2
2021/01/20-19:39:18,7.00,23.30,2
2021/01/20-19:39:19,7.20,23.30,2
2021/01/20-19:39:20,7.20,24.10,2
2021/01/20-19:39:21,7.20,24.00,2
2021/01/20-19:39:22,7.30,24.60,2
2021/01/20-19:39:23,7.30,24.10,2
2021/01/20-19:39:24,7.20,21.90,2
2021/01/20-19:39:25,7.20,22.80,2
2021/01/20-19:39:26,7.30,23.10,2
2021/01/20-19:39:27,7.30,22.60,2
2021/01/20-19:39:28,7.30,23.10,2
2021/01/20-19:39:29,7.40,23.20,2
2021/01/20-19:39:30,7.40,22.70,2
2021/01/20-19:39:31,7.40,23.10,2
2021/01/20-19:39:32,7.40,23.10,2
2021/01/20-19:39:33,7.40,23.20,2
2021/01/20-19:39:34,7.40,23.50,2
2021/01/20-19:39:35,7.30,23.50,2
2021/01/20-19:39:36,7.20,23.30,2
2021/01/20-19:39:37,7.20,23.00,2
2021/01/20-19:39:38,7.20,21.80,2
2021/01/20-19:39:39,7.20,21.60,2
2021/01/20-19:39:40,7.10,21.60,2
2021/01/20-19:39:41,7.10,21.60,2
2021/01/20-19:39:42,7.00,22.10,2
2021/01/20-19:39:43,7.00,21.80,2
2021/01/20-19:39:44,6.90,21.50,2
2021/01/20-19:39:45,6.80,21.40,2
2021/01/20-19:39:46,6.90,21.40,2
2021/01/20-19:39:47,7.00,21.50,2
2021/01/20-19:39:48,7.00,21.80,2
2021/01/20-19:39:49,6.90,21.60,2
2021/01/20-19:39:50,6.90,21.30,2
2021/01/20-19:39:51,6.90,21.30,2
2021/01/20-19:39:52,6.80,20.20,2
2021/01/20-19:39:53,6.70,20.40,2
2021/01/20-19:39:54,6.70,20.40,2
2021/01/20-19:39:55,6.70,19.50,2
2021/01/20-19:39:56,6.70,19.20,2
2021/01/20-19:39:57,6.80,19.50,2
2021/01/20-19:39:58,6.80,19.50,2
2021/01/20-19:39:59,6.80,19.80,2
2021/01/20-19:40:00,6.90,19.90,2
2021/01/20-19:40:01,6.90,19.60,2
2021/01/20-19:40:02,6.80,19.10,2
2021/01/20-19:40:03,6.80,19.20,2
2021/01/20-19:40:04,6.80,18.90,2
2021/01/20-19:40:05,6.80,19.00,2
2021/01/20-19:40:06,6.90,19.40,2
2021/01/20-19:40:07,6.90,19.70,2
2021/01/20-19:40:08,6.90,19.70,2
2021/01/20-19:40:09,6.90,20.00,2
2021/01/20-19:40:10,6.90,20.60,2
2021/01/20-19:40:11,6.80,20.00,2
2021/01/20-19:40:12,6.90,19.70,2
2021/01/20-19:40:13,7.00,19.60,2
2021/01/20-19:40:14,7.00,19.80,2
2021/01/20-19:40:15,7.10,19.70,2
2021/01/20-19:40:16,7.10,20.00,2
2021/01/20-19:40:17,7.10,19.80,2
2021/01/20-19:40:18,7.10,19.40,2
2021/01/20-19:40:19,7.20,19.80,2
2021/01/20-19:40:20,7.30,19.60,2
2021/01/20-19:40:21,7.20,19.30,2
2021/01/20-19:40:22,7.20,19.80,2
2021/01/20-19:40:23,7.30,19.40,2
2021/01/20-19:40:24,7.30,20.10,2
2021/01/20-19:40:25,7.30,20.50,2
2021/01/20-19:40:26,7.20,20.60,2
2021/01/20-19:40:27,7.10,19.80,2
2021/01/20-19:40:28,7.00,19.90,2
2021/01/20-19:40:29,6.90,19.80,2
2021/01/20-19:40:30,7.00,20.40,2
2021/01/20-19:40:31,6.90,20.20,2
2021/01/20-19:40:32,7.00,20.40,2
2021/01/20-19:40:33,7.00,20.50,2
2021/01/20-19:40:34,7.10,20.90,2
2021/01/20-19:40:35,7.20,20.90,2
2021/01/20-19:40:36,7.10,20.50,2
2021/01/20-19:40:37,7.10,20.50,2
2021/01/20-19:40:38,7.10,20.30,2
2021/01/20-19:40:39,7.10,20.00,2
2021/01/20-19:40:40,7.00,19.30,2
2021/01/20-19:40:41,7.00,19.70,2
2021/01/20-19:40:42,6.90,19.30,2
2021/01/20-19:40:43,6.90,19.70,2
2021/01/20-19:40:44,7.00,19.80,2
2021/01/20-19:40:45,6.90,19.80,2
2021/01/20-19:40:46,6.80,19.80,2
2021/01/20-19:40:47,6.70,19.60,2
2021/01/20-19:40:48,6.70,19.50,2
2021/01/20-19:40:49,6.50,19.10,2
2021/01/20-19:40:50,6.50,19.00,2
2021/01/20-19:40:51,6.50,19.60,2
2021/01/20-19:40:52,6.60,20.00,2
2021/01/20-19:40:53,6.70,20.50,2
2021/01/20-19:40:54,6.70,20.10,2
2021/01/20-19:40:55,6.70,19.90,2
2021/01/20-19:40:56,6.70,20.50,2
2021/01/20-19:40:57,6.80,20.70,2
2021/01/20-19:40:58,6.80,20.30,2
2021/01/20-19:40:59,6.80,20.20,2
2021/01/20-19:41:00,6.80,19.30,2
2021/01/20-19:41:01,6.90,20.30,2
2021/01/20-19:41:02,6.90,20.40,2
2021/01/20-19:41:03,6.80,20.50,2
2021/01/20-19:41:04,6.90,20.10,2
2021/01/20-19:41:05,6.90,20.40,2
2021/01/20-19:41:06,6.90,20.40,2
2021/01/20-19:41:07,6.90,20.40,2
2021/01/20-19:41:08,7.00,20.60,2
2021/01/20-19:41:09,6.90,20.40,2
2021/01/20-19:41:10,7.00,20.60,2
2021/01/20-19:41:11,6.90,20.20,2
2021/01/20-19:41:12,6.90,20.30,2
2021/01/20-19:41:13,6.80,20.10,2
2021/01/20-19:41:14,6.80,20.30,2
2021/01/20-19:41:15,6.70,20.50,2
2021/01/20-19:41:16,6.70,20.40,2
2021/01/20-19:41:17,6.80,20.30,2
2021/01/20-19:41:18,6.80,20.30,2
2021/01/20-19:41:19,6.70,20.30,2
2021/01/20-19:41:20,6.80,21.20,2
2021/01/20-19:41:21,6.80,20.70,2
2021/01/20-19:41:22,6.70,20.30,2
2021/01/20-19:41:23,6.70,20.00,2
2021/01/20-19:41:24,6.70,20.00,2
2021/01/20-19:41:25,6.70,20.20,2
2021/01/20-19:41:26,6.60,19.50,2
2021/01/20-19:41:27,6.70,19.60,2
2021/01/20-19:41:28,6.70,20.00,2
2021/01/20-19:41:29,6.70,20.30,2
2021/01/20-19:41:30,6.70,20.30,2
2021/01/20-19:41:31,6.70,20.00,2
2021/01/20-19:41:32,6.60,20.10,2
2021/01/20-19:41:33,6.60,19.70,2
2021/01/20-19:41:34,6.50,20.00,2
2021/01/20-19:41:35,6.60,19.80,2
2021/01/20-19:41:36,6.60,19.80,2
2021/01/20-19:41:37,6.60,19.70,2
2021/01/20-19:41:38,6.60,19.50,2
2021/01/20-19:41:39,6.70,19.60,2
2021/01/20-19:41:40,6.60,19.20,2
2021/01/20-19:41:41,6.70,19.20,2
2021/01/20-19:41:42,6.70,19.30,2
2021/01/20-19:41:43,6.70,19.30,2
2021/01/20-19:41:44,6.70,19.10,2
2021/01/20-19:41:45,6.70,18.70,2
2021/01/20-19:41:46,6.70,18.60,2
2021/01/20-19:41:47,6.80,19.10,2
2021/01/20-19:41:48,6.80,19.00,2
2021/01/20-19:41:49,6.80,18.90,2
2021/01/20-19:41:50,6.80,18.00,2
2021/01/20-19:41:51,6.80,18.00,2
2021/01/20-19:41:52,6.70,17.50,2
2021/01/20-19:41:53,6.50,17.20,2
2021/01/20-19:41:54,6.50,17.00,2
2021/01/20-19:41:55,6.50,16.70,2
2021/01/20-19:41:56,6.50,16.70,2
2021/01/20-19:41:57,6.50,16.70,2
2021/01/20-19:41:58,6.40,16.30,2
2021/01/20-19:41:59,6.40,16.10,2
