time,pm2.5,pm10,fan
2021/01/20-20:02:20,3.70,11.40,1
2021/01/20-20:02:21,3.60,11.30,1
2021/01/20-20:02:22,3.70,11.40,1
2021/01/20-20:02:23,3.70,11.90,1
2021/01/20-20:02:24,3.70,12.00,1
2021/01/20-20:02:25,3.80,12.20,1
2021/01/20-20:02:26,3.80,12.40,1
2021/01/20-20:02:27,3.80,12.70,1
2021/01/20-20:02:28,3.70,12.90,1
2021/01/20-20:02:29,3.70,12.40,1
2021/01/20-20:02:30,3.60,12.50,1
2021/01/20-20:02:31,3.60,12.10,1
2021/01/20-20:02:32,3.60,12.20,1
2021/01/20-20:02:33,3.60,11.50,1
2021/01/20-20:02:34,3.60,11.40,1
2021/01/20-20:02:35,3.60,11.30,1
2021/01/20-20:02:36,3.60,11.70,1
2021/01/20-20:02:37,3.60,12.10,1
2021/01/20-20:02:38,3.50,11.90,1
2021/01/20-20:02:39,3.50,12.00,1
2021/01/20-20:02:40,3.50,11.90,1
2021/01/20-20:02:41,3.50,11.50,1
2021/01/20-20:02:42,3.40,11.40,1
2021/01/20-20:02:43,3.40,10.90,1
2021/01/20-20:02:44,3.30,10.80,1
2021/01/20-20:02:45,3.30,10.60,1
2021/01/20-20:02:46,3.30,10.60,1
2021/01/20-20:02:47,3.30,11.00,1
2021/01/20-20:02:48,3.30,11.10,1
2021/01/20-20:02:49,3.30,11.10,1
2021/01/20-20:02:50,3.30,11.20,1
2021/01/20-20:02:51,3.30,11.10,1
2021/01/20-20:02:52,3.30,11.00,1
2021/01/20-20:02:53,3.30,10.40,1
2021/01/20-20:02:54,3.20,10.50,1
2021/01/20-20:02:55,3.20,10.30,1
2021/01/20-20:02:56,3.20,10.30,1
2021/01/20-20:02:57,3.10,9.70,1
2021/01/20-20:02:58,3.10,9.40,1
2021/01/20-20:02:59,3.10,9.30,1
2021/01/20-20:03:00,3.20,9.40,1
2021/01/20-20:03:01,3.20,9.40,1
2021/01/20-20:03:02,3.20,9.30,1
2021/01/20-20:03:03,3.20,9.40,1
2021/01/20-20:03:04,3.20,9.40,1
2021/01/20-20:03:05,3.10,9.20,1
2021/01/20-20:03:06,3.20,9.10,1
2021/01/20-20:03:07,3.20,8.60,1
2021/01/20-20:03:08,3.20,8.60,1
2021/01/20-20:03:09,3.20,8.60,1
2021/01/20-20:03:10,3.20,8.70,1
2021/01/20-20:03:11,3.20,8.80,1
2021/01/20-20:03:12,3.20,9.00,1
2021/01/20-20:03:13,3.20,9.10,1
2021/01/20-20:03:14,3.30,9.40,1
2021/01/20-20:03:15,3.30,9.40,1
2021/01/20-20:03:16,3.30,9.50,1
