time,pm2.5,pm10,fan
2021/01/20-19:25:32,15.80,85.60,3
2021/01/20-19:25:33,16.00,87.60,3
2021/01/20-19:25:34,16.20,88.90,3
2021/01/20-19:25:35,16.50,90.90,3
2021/01/20-19:25:36,16.60,91.50,3
2021/01/20-19:25:37,16.60,92.90,3
2021/01/20-19:25:38,16.70,93.40,3
2021/01/20-19:25:39,16.70,93.40,3
2021/01/20-19:25:40,16.60,92.60,3
2021/01/20-19:25:41,16.60,92.20,3
2021/01/20-19:25:42,16.80,94.60,3
2021/01/20-19:25:43,16.80,94.70,3
2021/01/20-19:25:44,16.80,94.60,3
2021/01/20-19:25:45,16.70,95.40,3
2021/01/20-19:25:46,16.50,93.10,3
2021/01/20-19:25:47,16.70,93.20,3
2021/01/20-19:25:48,16.80,94.80,3
2021/01/20-19:25:49,16.90,95.60,3
2021/01/20-19:25:50,16.90,94.90,3
2021/01/20-19:25:51,16.90,94.70,3
2021/01/20-19:25:52,17.00,94.80,3
2021/01/20-19:25:53,16.80,94.50,3
2021/01/20-19:25:54,16.50,92.20,3
2021/01/20-19:25:55,16.60,91.20,3
2021/01/20-19:25:56,16.30,87.20,3
2021/01/20-19:25:57,16.30,87.00,3
2021/01/20-19:25:58,16.10,86.30,3
2021/01/20-19:25:59,16.10,85.90,3
2021/01/20-19:26:00,15.90,85.40,3
2021/01/20-19:26:01,15.80,86.10,3
2021/01/20-19:26:02,15.70,85.20,3
2021/01/20-19:26:03,15.60,84.30,3
2021/01/20-19:26:04,15.50,84.20,3
2021/01/20-19:26:05,15.50,82.90,3
2021/01/20-19:26:06,15.50,81.70,3
2021/01/20-19:26:07,15.60,80.10,3
2021/01/20-19:26:08,15.60,79.80,3
2021/01/20-19:26:09,15.70,80.00,3
2021/01/20-19:26:10,15.60,79.00,3
2021/01/20-19:26:11,15.80,80.00,3
2021/01/20-19:26:12,15.60,78.40,3
2021/01/20-19:26:13,15.60,78.50,3
2021/01/20-19:26:14,15.70,78.50,3
2021/01/20-19:26:15,15.80,78.20,3
2021/01/20-19:26:16,16.00,78.90,3
2021/01/20-19:26:17,16.10,78.90,3
2021/01/20-19:26:18,16.00,77.80,3
2021/01/20-19:26:19,16.00,77.20,3
2021/01/20-19:26:20,16.00,77.90,3
2021/01/20-19:26:21,16.00,76.60,3
2021/01/20-19:26:22,16.10,76.30,3
2021/01/20-19:26:23,16.20,76.40,3
2021/01/20-19:26:24,16.20,75.80,3
2021/01/20-19:26:25,16.20,79.00,3
2021/01/20-19:26:26,16.30,78.60,3
2021/01/20-19:26:27,16.30,78.80,3
2021/01/20-19:26:28,16.20,78.20,3
2021/01/20-19:26:29,16.20,76.90,3
2021/01/20-19:26:30,16.00,77.00,3
2021/01/20-19:26:31,16.00,76.20,3
2021/01/20-19:26:32,15.90,75.80,3
2021/01/20-19:26:33,15.70,75.10,3
2021/01/20-19:26:34,15.50,73.50,3
2021/01/20-19:26:35,15.40,72.60,3
2021/01/20-19:26:36,15.50,73.20,3
